Date,Close,High,Low,Open,Volume,Ticker
2020-09-08,94.01050567626953,95.29800201784091,93.62270505137559,94.7473293393916,5449974,IBM
2020-09-09,94.82487487792969,95.94174353513175,94.07254644614144,94.72404697328436,3944152,IBM
2020-09-10,93.5063705444336,95.84868543975011,93.25818159886268,95.03430656460417,4161406,IBM
2020-09-11,94.20440673828125,95.16615279083534,93.63821683110162,94.15011811651713,3711313,IBM
2020-09-14,94.6930160522461,95.69353948859407,94.437071651073,94.9024273584996,3809009,IBM
2020-09-15,94.9645004272461,95.70907345125619,94.80937769456608,95.25922866769073,3049299,IBM
2020-09-16,96.34507751464844,97.58603472458942,95.17391996981381,95.17391996981381,3962666,IBM
2020-09-17,96.88798522949219,97.37661378503836,94.59996518254641,95.10410477325927,3317180,IBM
2020-09-18,95.21268463134766,96.887981588905,95.12736775157757,96.37608649984338,5639614,IBM
2020-09-21,93.26593017578125,93.61494701505913,91.97067835172923,93.44431325920304,5555724,IBM
2020-09-22,93.46759796142578,94.19665999133817,92.70750766948595,93.32798625620114,3093859,IBM
2020-09-23,92.16458892822266,94.30524187383125,91.85434345043991,93.69251881537328,4120612,IBM
2020-09-24,91.59062957763672,92.69973656706038,90.34191090645936,91.59838509444987,3709325,IBM
2020-09-25,92.25764465332031,92.61442319846493,90.69869287148612,91.21058794832412,3089570,IBM
2020-09-28,94.41381072998047,94.879172685205,93.39002061804497,93.51411507625201,3670623,IBM
2020-09-29,93.80107879638672,94.77058019807926,93.234888987469,94.165612808917,2203504,IBM
2020-09-30,94.3672866821289,95.32903275200286,93.69251332971024,94.14236429450905,3411111,IBM
2020-10-01,93.91744995117188,95.63153099814988,93.35126613754586,94.90246272293497,3359438,IBM
2020-10-02,93.51412200927734,94.4293287644392,92.1568198164861,92.32745357764544,3059759,IBM
2020-10-05,94.63098907470703,95.20493452427864,93.88641604545786,94.49913908369273,3190823,IBM
2020-10-06,94.59996032714844,96.8181806019927,94.30523210543116,95.0730778232449,4050426,IBM
2020-10-07,96.2287368774414,96.47692583929215,94.8714345367938,95.14289624283525,2944908,IBM
2020-10-08,101.98367309570312,105.09382724717187,100.64963753583244,101.49504458348473,26452189,IBM
2020-10-09,99.11396026611328,102.37923739550081,98.96659305420458,102.37923739550081,8737970,IBM
2020-10-12,98.66410827636719,99.47073160604167,98.06689629654598,99.33112610265916,4848315,IBM
2020-10-13,97.02760314941406,98.61758338894214,96.5312190444416,98.16773239245481,5654781,IBM
2020-10-14,97.6791000366211,98.45470133125646,97.0508659589549,97.0508659589549,3899593,IBM
2020-10-15,96.86470794677734,97.12065856735266,96.05808469098861,96.23647395476306,3541024,IBM
2020-10-16,97.67135620117188,98.05915689487385,96.68634342949848,97.08189964190969,4927078,IBM
2020-10-19,97.35334777832031,98.77269415786043,97.01208643406183,98.34611593014755,7822720,IBM
2020-10-20,91.0322036743164,93.1883737186751,90.62113648685303,92.91691203635735,22490151,IBM
2020-10-21,89.2405776977539,91.2804090178106,89.03116632182395,90.48154110609268,10204044,IBM
2020-10-22,89.78347778320312,90.01616185944687,87.62731409900952,89.19402754957132,8217167,IBM
2020-10-23,89.9696273803711,90.4505004028572,89.60509949700885,90.35742800529347,4072496,IBM
2020-10-26,87.0378646850586,89.11647336745516,86.74313644972865,88.76745031976169,7534756,IBM
2020-10-27,85.7503662109375,87.03786255593037,85.33929903295167,86.98356774489501,6209161,IBM
2020-10-28,82.7177734375,85.10662151636575,82.15158348959447,84.27673157894868,9860956,IBM
2020-10-29,84.47062683105469,85.03681674493792,82.64020710257205,83.1831304639952,7071169,IBM
2020-10-30,86.60352325439453,86.71210668768126,83.57093026065736,83.68726921135321,8285889,IBM
2020-11-02,87.57301330566406,88.28656414034691,87.06111827620808,87.37135750043721,5555829,IBM
2020-11-03,88.54252624511719,89.69817261179102,88.13145906490676,88.41843177722629,4397698,IBM
2020-11-04,86.7896728515625,88.34863096996433,86.21572739418917,87.12318487683693,6066905,IBM
2020-11-05,89.01565551757812,89.41896723369094,87.65059762170718,87.87552003502552,5127701,IBM
2020-11-06,88.4494400024414,89.27157423417938,87.94530050283245,89.25606320181572,5490663,IBM
2020-11-09,90.9044189453125,94.21704417378464,90.69983900357543,92.75350639721978,9405841,IBM
2020-11-10,92.77710723876953,92.98168717369896,91.47094158976391,91.81715765152782,5881449,IBM
2020-11-11,92.21846008300781,93.12333394156474,91.44734811124779,92.94235791399112,4486922,IBM
2020-11-12,90.09396362304688,91.56536303889739,89.29137984010643,90.98309514160522,6797117,IBM
2020-11-13,91.94305419921875,92.35221408088022,90.49525866092596,90.63688851253545,4898000,IBM
2020-11-16,93.1312026977539,93.28070053962358,92.15551075952335,93.08398855658211,5536896,IBM
2020-11-17,92.61186218261719,93.27280976296989,92.11614835769781,92.53317615277243,4324687,IBM
2020-11-18,91.88011169433594,93.54036156605596,91.86437574055934,92.62761973321327,4818713,IBM
2020-11-19,92.20272827148438,92.41517621624612,91.18769641126204,91.6991463300054,3597822,IBM
2020-11-20,92.01387786865234,92.87940554212196,91.81716589207997,92.53319572859631,5255418,IBM
2020-11-23,94.49243927001953,94.83078737909042,92.27353173691706,92.39943192040482,5910318,IBM
2020-11-24,97.89947509765625,98.14340118007136,95.05896007507012,95.0982999532128,8109115,IBM
2020-11-25,97.72639465332031,97.82868463809486,96.08188064027286,96.72709873760485,4326151,IBM
2020-11-27,97.84439849853516,98.59976810810343,97.49818245636251,97.72637258572543,2187395,IBM
2020-11-30,97.19132232666016,98.35585817913157,96.85298050540409,97.64769635188323,6263448,IBM
2020-12-01,96.90807342529297,99.00894893292384,96.8451233281118,97.49033513714512,5553319,IBM
2020-12-02,98.0568618774414,98.07259783105887,96.31793225442154,96.66414207193932,3860472,IBM
2020-12-03,97.26213836669922,98.24569818385999,97.01035056992,97.69490217452571,4757417,IBM
2020-12-04,100.08692169189453,100.2285578277129,97.28574623330113,97.54540829609422,5776849,IBM
2020-12-07,98.11981201171875,99.90594949632822,98.01752203385183,99.5282677714196,8701151,IBM
2020-12-08,98.91451263427734,99.40235854883421,98.07258895743097,98.60764272856889,5643170,IBM
2020-12-09,99.76432037353516,100.47248224703822,98.90665438087453,98.98534042888846,6813121,IBM
2020-12-10,98.32438659667969,99.87447213363707,98.3086443646045,99.41810438622566,5024147,IBM
2020-12-11,97.7814712524414,98.75716324368767,97.26215334720116,97.63197340244854,4687544,IBM
2020-12-14,97.19918060302734,99.33154012764074,97.15197274960023,98.6076361406109,5282300,IBM
2020-12-15,99.08763885498047,99.08763885498047,97.12839314033889,97.87589496191971,4556585,IBM
2020-12-16,98.78862762451172,99.59121149307488,98.5840476689686,99.08762958102174,4738485,IBM
2020-12-17,98.78862762451172,99.21352348920726,98.28504571245857,99.2056555124026,3962248,IBM
2020-12-18,99.0246810913086,99.4574449123766,98.3322552100133,98.82010114542436,7900229,IBM
2020-12-21,97.08904266357422,97.71065053759372,95.77500884149771,97.54541673725481,6397022,IBM
2020-12-22,97.26213836669922,97.74211631099095,96.31792470981125,97.02608652230488,4535561,IBM
2020-12-23,97.4903335571289,98.52110763046583,97.36443964411836,97.4745976029165,2817819,IBM
2020-12-24,98.11192321777344,98.43453533650592,97.73424154882814,98.35584930073433,1842111,IBM
2020-12-28,98.21422576904297,99.61480715506123,97.93095978965445,98.43454165990829,3781499,IBM
2020-12-29,97.41165924072266,98.7335610996328,96.97102110154482,98.63127111221303,3647402,IBM
2020-12-30,97.83653259277344,98.23782447240218,97.27786863986233,97.4116367859454,3535794,IBM
2020-12-31,99.04827117919922,99.16629708851427,97.56112965148573,97.7421056427801,3738822,IBM
2021-01-04,97.52179718017578,99.07975060419619,96.81363539120098,99.02467477267825,5417443,IBM
2021-01-05,99.25286102294922,99.67775685070197,98.04898532477607,98.36372320753034,6395872,IBM
2021-01-06,101.73143768310547,103.769369228765,99.70923581148969,99.85087195030441,8322708,IBM
2021-01-07,101.49537658691406,102.65204447651043,100.92097663033992,102.32156434844813,4714740,IBM
2021-01-08,101.13343811035156,101.75504597034761,99.91382004209105,101.1649100184087,4891305,IBM
2021-01-11,101.17276000976562,102.03829384127084,100.44886229796117,100.67704614943331,5859587,IBM
2021-01-12,101.6684799194336,102.17206178534491,100.66918416369467,101.5740579271183,3921663,IBM
2021-01-13,99.86660766601562,102.09338320525525,99.50465562247379,101.62127320918133,8030874,IBM
2021-01-14,101.47964477539062,102.4159905247207,100.36232300174767,100.73214302714263,7848347,IBM
2021-01-15,101.02326965332031,101.69208530589093,100.45673769130488,100.93671563584762,5131153,IBM
2021-01-19,101.51898193359375,101.96748799394965,100.78721615853097,101.72356188272146,5646308,IBM
2021-01-20,102.35303497314453,103.12414056327282,101.15702728965209,102.05403305227142,5856240,IBM
2021-01-21,103.58837890625,104.05262086268166,102.32942745993586,102.38450328907429,13116003,IBM
2021-01-22,93.32791137695312,94.97241897585948,92.34435149656419,94.97241897585948,39814421,IBM
2021-01-25,93.30429077148438,94.05966035469169,92.41515304969221,93.4459206060514,14315974,IBM
2021-01-26,96.38086700439453,96.45955304439269,93.17839980647078,93.77640366355999,11186656,IBM
2021-01-27,96.36512756347656,98.1906109729299,95.69630566667182,96.05825766997305,12705239,IBM
2021-01-28,94.48457336425781,96.93953908572148,94.47670538753124,96.62480117872583,8455969,IBM
2021-01-29,93.72134399414062,95.44453779865866,93.55610390957845,94.59473972288235,12369473,IBM
2021-02-01,94.84654235839844,95.16914829976488,93.42235040605694,94.3429603613616,6538023,IBM
2021-02-02,93.98098754882812,95.20847349816819,93.8550936471276,93.91804373763325,6633627,IBM
